sample-id,absolute-filepath,direction
RI1,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188072-1-1-1_S62_L001_R1_001.fastq.gz,forward
RI1,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188072-1-1-1_S62_L001_R2_001.fastq.gz,reverse
RI2,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188073-2-1-1_S82_L001_R1_001.fastq.gz,forward
RI2,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188073-2-1-1_S82_L001_R2_001.fastq.gz,reverse
RI3,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188074-2-1-1_S83_L001_R1_001.fastq.gz,forward
RI3,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188074-2-1-1_S83_L001_R2_001.fastq.gz,reverse
RI4,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188075-1-1-1_S63_L001_R1_001.fastq.gz,forward
RI4,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188075-1-1-1_S63_L001_R2_001.fastq.gz,reverse
RI5,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188076-2-1-1_S84_L001_R1_001.fastq.gz,forward
RI5,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188076-2-1-1_S84_L001_R2_001.fastq.gz,reverse
DE1,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188077-1-1-1_S64_L001_R1_001.fastq.gz,forward
DE1,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188077-1-1-1_S64_L001_R2_001.fastq.gz,reverse
DE2,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188078-1-1-1_S65_L001_R1_001.fastq.gz,forward
DE2,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188078-1-1-1_S65_L001_R2_001.fastq.gz,reverse
DE3,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188079-1-1-1_S66_L001_R1_001.fastq.gz,forward
DE3,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188079-1-1-1_S66_L001_R2_001.fastq.gz,reverse
DE4,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188080-1-1-1_S68_L001_R1_001.fastq.gz,forward
DE4,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188080-1-1-1_S68_L001_R2_001.fastq.gz,reverse
DE5,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188081-1-1-1_S69_L001_R1_001.fastq.gz,forward
DE5,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188081-1-1-1_S69_L001_R2_001.fastq.gz,reverse
PE1,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188082-1-1-1_S71_L001_R1_001.fastq.gz,forward
PE1,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188082-1-1-1_S71_L001_R2_001.fastq.gz,reverse
PE2,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188083-1-1-1_S72_L001_R1_001.fastq.gz,forward
PE2,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188083-1-1-1_S72_L001_R2_001.fastq.gz,reverse
PE3,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188084-1-1-1_S74_L001_R1_001.fastq.gz,forward
PE3,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188084-1-1-1_S74_L001_R2_001.fastq.gz,reverse
PE4,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188085-2-1-1_S85_L001_R1_001.fastq.gz,forward
PE4,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188085-2-1-1_S85_L001_R2_001.fastq.gz,reverse
PE5,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188086-2-1-1_S86_L001_R1_001.fastq.gz,forward
PE5,/home/lauro/nupeb/rede-micro/redemicro-andressa-lbtm/data/raw-data/fastqs/210222188086-2-1-1_S86_L001_R2_001.fastq.gz,reverse
