	S62	S63	S64	S65	S66	S68	S69	S71	S72	S74	S82	S83	S84	S85	S86
EC:1.1.1.1	22725.502727938336	0.0	28012.95338554272	4310.33	783.0947231556385	1308.8627361355027	739.8194167585527	3371.6997199470406	4725.881803273149	12374.066595432701	10093.709074593075	3017.2284045431797	9593.016432357515	9807.42535878537	6767.44210713372
EC:1.1.1.10	0.0	0.0	2.356323963202175e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.163788234579928e-06
EC:1.1.1.100	36510.01976231404	245.2644752586945	55449.330875191	4145.4469030390765	2050.3181862873016	2022.8930547200741	1266.6973771821608	5987.598511497282	7492.216585483602	13287.602090621811	25609.808247606037	5339.83607954952	23283.759635788425	20099.715756847858	10064.114997432302
EC:1.1.1.101	0.0	0.0	6.066250952268855e-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.027692864024297e-28
EC:1.1.1.102	5.9072235209258973e-08	0.0	83.02298417949413	0.0	0.0	0.0	0.0	89.95787881279004	255.16625978936847	0.0	432.2385944379065	112.76720711347947	262.4076744460642	205.317185860084	92.61125539584421
EC:1.1.1.103	932.9103063691305	0.0	1079.1081378296867	0.0	0.0	4.354363213291086	0.0	0.0	301.9617297341963	131.82317177629432	595.2314989985908	507.4817166930251	1514.6958706685812	1622.2592893369997	590.8647015156696
EC:1.1.1.105	0.0	0.0	67.92765431568725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	2.0651173342486144	0.0	0.49118024793188775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.906359244476648	0.08679496407690121
EC:1.1.1.108	222.12857753219	0.0	403.36579077849575	0.0	0.0	0.0	0.0	0.0	0.0	2.867123984262599	1.6314111011260997	5.470656036564759	23.579109590154193	62.23039517636944	159.02662169405014
EC:1.1.1.11	0.060300762805705996	0.0	0.004458171764786682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004429834892199545
EC:1.1.1.122	1469.6016212053466	0.0	1419.7642142584878	0.0	0.0	0.0	0.0	0.0	242.26236173304324	61.39472784366382	399.9293021714882	425.90030886084725	1010.544301507921	780.4785573773611	363.1262743829983
EC:1.1.1.125	1787.2603677474406	0.0	5620.249466368283	0.0	70.36686800675268	259.2642639958412	11.417976724269609	760.9584879237799	1571.401945901593	339.70909265154694	2109.421590457403	404.47735827593476	1802.8633195585876	1064.2272935861088	721.5763463291939
EC:1.1.1.130	1546.8480123919287	37.95810701306559	1282.8796279263195	0.0	53.39265673266326	39.92383416535329	1.6919472795821624	107.91247303962753	136.32757043104826	0.0	768.3910058490981	280.34324667630085	1041.2584770422366	535.3945317985913	293.79317523475385
EC:1.1.1.132	0.25552027499704244	0.0	532.600060604742	0.0	0.0	19.927237165879376	0.0	53.95020579268808	30.859659450284962	0.0	60.68264538884766	7.833216827446837	100.65145779204228	250.44289155423715	205.06573816949034
EC:1.1.1.133	11887.544094266097	37.95810701306559	13227.846173032194	489.756193921853	88.06300426259646	786.1807871334962	534.7279146361586	1853.4128620512006	2148.720007047927	277.07581713587615	5384.432681360122	1238.2958725455424	6140.712668197279	5464.939246249336	2613.426622478294
EC:1.1.1.136	741.9655414919771	0.0	5409.435914875738	0.0	107.33635114195371	188.33604687443918	83.55420894028912	652.4232091463873	832.1120867388207	390.39992964117596	2234.491227083697	832.5761047751942	2535.937409221531	1452.1533140580586	881.5767100811739
