	S62	S63	S64	S65	S66	S68	S69	S71	S72	S74	S82	S83	S84	S85	S86
K00001	5555.097810172341	0.0	3788.0456512206465	0.0	150.2159258003044	107.85783621100151	358.24811480852884	483.01206850780596	1279.3551684421486	6128.814368238991	1934.3688078276125	254.20272776630986	1399.6396084745522	1455.3434130952064	889.6264486444804
K00002	124.2051475614092	0.0	822.027841276388	0.0	0.0	39.867008843725195	0.0	107.93434702230964	204.65690562500703	28.999244688797805	342.6003818126313	186.72295542652344	576.6029458179677	462.1078548334266	201.91710020067853
K00003	11133.966368053403	51.064475258695104	29023.243915643874	1472.33	749.8831037176228	1749.804951096794	506.52389499427494	4068.065595864059	3388.265872657534	3361.5000092497066	13719.254408769071	1789.2524187422468	9740.380542836097	4679.355063412807	3821.93856475747
K00004	1178.7272148231468	0.0	3602.7759703598986	0.0	0.6803883385878494	125.7487941979411	0.0	429.99340990844377	1408.0535435297325	775.00588529267	772.8775565044828	144.4203647494704	598.8377286137942	690.9202851667733	407.2457329547813
K00005	7933.302757453764	46.92852370510785	14577.312442633094	1637.2130969609236	356.1399323113503	970.5413940184164	48.74310009176676	2079.9199943449235	1778.725491710025	112.73916818388975	5892.473985475043	623.532211190219	4530.213715301504	1698.9893413753389	2058.757967134222
K00007	0.060300762805705996	0.0	0.004458171764786682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004429834892199545
K00008	5995.650904070579	0.0	13749.817352785623	0.0	936.2268166663271	340.7922863557161	9.052523685674442	1617.6809576228245	3972.9059577951093	1014.8247947955947	8494.541152054417	1087.9272254183645	6392.209668069408	5745.174413477059	1989.571853102503
K00009	3930.6224921447847	0.0	5960.167015035903	1200.7869030390734	61.34811861303813	427.99152200238433	339.8142891728311	882.6290134468652	943.458673458361	139.01469065386985	2244.671959064002	202.64890333779925	1532.8624025418264	398.47095460280985	827.6645165919635
K00010	1796.863789675279	58.24889402313125	9106.497321384213	0.0	734.1767767970352	138.2842169060932	0.0	1096.3267701928776	1926.518451707163	219.2834691370315	5742.347028148043	1451.3981770995954	4357.024480310338	4863.588557427448	2093.2076341095244
K00011	0.00036334993871632885	0.0	5.207828278204625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7075377856310458e-06	5.138168915088993e-07	0.0
K00012	12350.655102673123	194.2	13131.99923426969	1419.0	253.5534025351616	792.2245397526931	528.1820695024544	2009.9492865598754	1844.6851697181792	4314.182999917192	5828.805462367243	1237.2799292494392	6050.925786417201	6016.974348424257	2633.4298981035117
K00013	10287.755750413737	0.0	13686.020272591548	1254.1169030390733	318.4154245349474	748.3636541692387	372.19	1878.8912277623526	2019.2111878183637	2868.771666010387	6615.003888934161	1362.6615616608503	6048.657554730276	4814.770041123973	2450.942565542131
K00014	13959.330362075028	58.24889402313125	24864.519490984934	1254.1169030390733	539.6036744959783	1516.108898499099	864.6251496039561	3393.857014495641	3011.9098557212574	4508.859670118683	11101.854418990606	1898.2693807682256	9718.606549525466	6420.32367032885	4034.103829497305
K00015	98.89186266387122	0.0	398.61081351914777	0.0	0.0	0.11336141898279546	0.0	89.95787881279004	254.0998127321671	178.33690876567297	413.52507829388475	70.47945960417822	377.324796656169	508.68105721745656	383.0148213399734
K00016	13853.61898491481	294.5429525897835	24244.87500334902	3953.8988060781526	393.41132342272215	1601.6688993317343	714.6196192943713	3599.39048607551	3469.632437643989	397.3343441050139	8390.437523974071	1722.4658713377428	7165.493731504599	4202.130524453003	4495.556776548673
K00018	6501.619987019593	46.92852370510785	12968.629680960395	1200.7869030390734	141.66543119600726	815.1443796335049	123.20275144529957	1878.432185717389	1609.8361592703586	1302.7908271168128	4747.720702201191	988.0823891955415	5066.729237808657	2578.094399963721	1822.154840962747
K00019	533.8930523509713	0.0	2354.955377674139	0.0	202.32396734127084	0.0	0.0	0.0	38.66916793728265	1712.5736847432986	1531.7218293977148	16.998499583655683	1161.2606815491174	295.54347712071785	469.31355186053634
K00020	7511.884217243359	0.0	10620.966094286749	1419.0	307.36148885104666	537.6501050505352	11.417976724269609	1344.7794782541284	1222.1296318385748	7445.336699170443	4247.768474402485	1119.625958032993	3401.4140770975164	2756.4402597366507	3714.253999158952
K00021	0.0	0.0	97.59492228923112	0.0	0.0	0.09651082122901745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.68323623916686	1.1694758514600236
K00022	0.0	0.0	0.3661436552099067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36381638594939447
K00023	851.2269472855614	0.0	280.045114450236	0.0	0.0	0.0026928845457383933	0.0	0.007290608036085192	0.004170246950375718	0.41642514047831963	0.008186306334093844	0.0010585485766269622	36.05048944659798	126.33792472542376	523.1086750312959
K00024	5365.313510960117	0.0	2321.643850242386	53.33	0.0	0.5957404620318092	523.2594255253795	101.04212118720996	391.2827621147892	2844.386193973216	1350.5810580100188	502.0	2128.0113982465045	2111.1280597864106	956.9791430225342
K00027	13903.791436187541	194.2	23047.226828068982	2508.2338060781526	807.1636079651921	1094.4161620244354	633.6676140154779	3144.3851648717346	2886.2489222171253	3984.828102146828	9371.779559887736	2027.7996212697417	7691.934281820839	7230.938546431037	3658.8817681560786
K00028	0.0	0.0	8.164011004097806e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.112119208126555e-11
K00029	2873.276751474616	0.0	1303.6952918745574	0.0	0.0	0.0	113.57953875717058	0.0	231.6572117803818	2371.0	1145.7240868361673	830.6565736696547	2658.5039146705776	2393.0479384338823	1426.8639720161964
K00030	2105.0455850974304	194.2	4325.051532960244	0.0	353.4406081237815	67.70814700860878	32.33	345.10212118720995	563.0763318412943	200.42479398695815	2915.4449901007592	472.7754282734214	1549.3089710351223	1673.7084252354807	564.9169962296511
K00031	9696.86688433748	0.0	11703.000025584031	1254.1169030390733	0.0	705.1309774245519	339.86	1650.5732656635005	1837.3677370498483	4558.26190849222	4551.203970578696	1519.1251123348814	5731.712227791095	4196.080475947625	2422.2607431110628
K00032	0.0	0.0	1.1537835817600218e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.446037885969508e-10
