	S62	S63	S64	S65	S66	S68	S69	S71	S72	S74	S82	S83	S84	S85	S86
1CMET2-PWY	10744.961831599228	0.0	19106.03437498617	1499.3203304647323	501.05006579650734	851.8571720803109	254.8137394844211	2245.766709839032	2427.7127782934617	3461.9405078406744	8857.063041321295	1968.1488634011796	8499.160243627477	6559.665331689925	3727.2376857287277
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	549.4596454789103	0.0	126.52472446036005	0.0	0.0	0.0	0.0	0.0	0.0	32.57963679451975	6.541462358722743	0.0	0.0	0.004092037245441188	274.66803733226897
AEROBACTINSYN-PWY	0.0003114147382479519	0.0	0.008916164024739319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005901321521396224
ALL-CHORISMATE-PWY	1220.3228010852238	0.0	1463.9158213066428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.02289793953229	0.0	0.0	0.0	436.01187267418294
ANAEROFRUCAT-PWY	13207.823382960529	219.56032475739968	19894.44277918827	2077.681827366825	516.1435022798535	675.7177973719587	693.2974428770846	2128.828032216221	2870.380927664504	1836.451776949045	8964.913843027585	2254.7202411803573	8204.985481265836	6699.680950543866	4417.280452909302
ANAGLYCOLYSIS-PWY	15853.365420071852	216.58413273571193	28122.170668202496	2122.9493808365096	582.6786699017653	1304.7897779290975	759.7858197688776	3526.301501504372	4334.2296857590145	1777.122429555738	12781.81708915918	3078.891944934889	11700.691065773242	9545.192646275791	5702.416412636968
ARG+POLYAMINE-SYN	4128.900241521519	0.0	9186.792724875351	0.0	128.28942021204938	309.2389592883354	44.49244047598033	568.8004449774218	1384.1594255061113	615.497285949166	4906.849756887324	1058.9183737477088	4678.678226053371	3878.1979042914636	1699.263013397431
ARGDEG-PWY	384.6936035544179	0.0	0.012482173997667762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012904626391904359
ARGORNPROST-PWY	4784.906094484358	0.0	9428.876514331392	639.552171118493	411.80191947145715	273.5923417829441	0.0	867.7312566449118	1245.1336273194968	565.9941188823541	4241.039414348395	1780.500750594423	4604.73944624339	5008.101400832213	2798.2538795772807
ARGSYN-PWY	10852.656881416944	0.0	14987.229439350995	1331.1727354001837	251.93294412886092	857.7614172855666	434.58800736084805	2253.9312598511024	2428.2960359593103	2165.491390374263	6928.67566973997	1541.959985300518	6046.103992246633	5233.782375815253	2882.9490823156925
