	shannon
10249.C001.02SS	3.4103482781253556
10249.C001.03SS	2.3039151942488956
10249.C001.05SS	2.316908665912672
10249.C001.06SS	2.374731074523026
10249.C001.07SS	3.3184751054951245
10249.C001.08SS	2.956846205993161
10249.C001.09SS	2.791238868611376
10249.C001.10SS	2.5655251640920085
10249.C001.11SS	3.517983355956724
10249.C001.12SS	3.580489057188803
10249.C001.13SS	3.852377291170015
10249.C001.14SS	2.2094062807403945
10249.C001.15SS	1.7841369654699533
10249.C001.16SS	3.1577581110601036
10249.C001.17SS	3.5806066225226263
10249.C001.18SS	4.478360761831671
10249.C001.19SS	2.8497112302561587
10249.C001.20SS	2.3958960585308433
10249.C001.25SS	2.803456016114595
10249.C001.26SS	2.641766187549583
10249.C001.27SS	3.3811638445692678
10249.C002.01SS.r	3.5949431431262693
10249.C002.02SS	2.8945757046398684
10249.C002.03SS	1.2297254064297387
10249.C002.04SS	2.6790242954797456
10249.C002.05SS	1.5880349733124361
10249.C002.06SS	2.173256387482009
10249.C002.07SS	2.2203183728280975
10249.C002.08SS	1.8253295520153943
10249.C002.09SS	2.5073615463281445
10249.C002.10SS	2.283215415250932
10249.C002.11SS	3.5786410416812604
10249.C002.12SS	2.905521537551571
10249.C002.13SS	3.4034121386234752
10249.C004.01SS	4.01449302616668
10249.C004.02SS	2.0494143844534825
10249.C004.03SS	1.815828092736863
10249.C004.04SS	1.880883065760549
10249.C004.05SS	0.9796216361553496
10249.C004.06SS	1.1355358064199763
10249.C004.07SS	2.5699282095784017
10249.C004.08SS	2.4865244590026427
10249.C004.09SS	3.016607140273406
10249.C004.10SS	2.684967423531514
10249.C004.11SS	2.937803544821248
10249.C004.12SS	3.054495579162317
10249.C004.13SS	2.347862076038005
10249.C004.14SS	3.141234332143087
10249.C004.15SS	4.067905609405813
10249.C005.01SS.r	2.9694642047806776
10249.C005.02SS	2.591617928342442
10249.C005.03SS	3.5245543711655065
10249.C005.04SS	3.697244301326163
10249.C005.05SS	3.6710108795272673
10249.C005.07SS	3.206457057779869
10249.C005.08SS	3.926780005189191
10249.C005.09SS	3.4802595954338913
10249.C005.10SS	3.7079910579587323
10249.C005.11SS	3.573045896778634
10249.C005.12SS	3.5832859130786456
10249.C005.13SS	3.6125374368964605
10249.C005.14SS	3.6169949162776636
10249.C007.02SS	2.6873452408352656
10249.C007.03SS	3.0806839240332136
10249.C007.04SS	2.6964164737847254
10249.C007.05SS	3.0067798294999704
10249.C007.06SS	1.5782130919932158
10249.C007.07SS	2.0974342204768734
10249.C007.08SS	2.9628576593000386
10249.C007.09SS	2.2470976319944724
10249.C007.10SS	2.755966280908911
10249.C007.11SS	1.2651202472045
10249.C007.12SS	2.707177219455078
10249.C007.13SS	2.584737899288999
10249.C007.15SS	3.3411744651951705
10249.C007.16SS	2.658652391353982
10249.C008.01SS	3.591234400181627
10249.C008.02SS	1.845556031037765
10249.C008.04SS	3.242675472297779
10249.C008.05SS	2.9874193948694825
10249.C008.06SS	2.463253752244341
10249.C008.07SS	2.1172112322598724
10249.C008.08SS	2.289948777060653
10249.C008.09SS	2.8114559344708505
10249.C008.10SS	3.2553444943083036
10249.C008.11SS	4.211517922443453
10249.C009.02SS	2.312579498627914
10249.C009.03SS	0.8901882685655494
10249.C009.04SS	1.9937548549461581
10249.C009.05SS	2.123187198879813
10249.C009.06SS	3.599277920110922
10249.C009.07SS	1.780267434661391
10249.C009.08SS	1.5217285466324728
10249.C009.09SS	3.5892566690937917
10249.C009.10SS	3.3593885434506343
10249.C009.11SS	1.756614470589231
10249.C009.12SS	3.579052432619912
10249.C009.13SS	4.234263863973086
10249.C010.01SS.r	2.310279898631432
10249.C010.02SS	2.0396689309707083
10249.C010.03SS	1.9136444717592884
10249.C010.04SS	2.487703477398328
10249.C010.05SS	2.4486571573115725
10249.C010.06SS	3.2266382968488996
10249.C010.07SS	1.7464829704698304
10249.C010.08SS	2.3738853673145557
10249.C010.09SS	2.8709560877510496
10249.C010.10SS	2.640051640547965
10249.C010.11SS	3.272264683031018
10249.C010.12SS	3.4410661153796007
10249.C011.02SS	1.5636658157388559
10249.C011.03SS	2.0173466799261774
10249.C011.04SS	3.303544027102633
10249.C011.05SS	3.0130383779399956
10249.C011.06SS	3.6326802351415646
10249.C011.07SS	3.6233823901116096
10249.C011.08SS	4.521810849393961
10249.C011.09SS	2.62899259157688
10249.C011.10SS	4.2093062651490305
10249.C012.01SS.r	3.308668704924623
10249.C012.02SS	2.4299174173658313
10249.C012.04SS	2.2240213791535335
10249.C012.05SS	2.802921552443743
10249.C012.06SS	1.5258722097488424
10249.C012.07SS	2.840160179532176
10249.C012.08SS	1.9972595243154587
10249.C012.09SS	3.9232564631427187
10249.C012.10SS	2.1323335449973757
10249.C012.11SS	3.0174164094710663
10249.C012.12SS	2.247655920340385
10249.C012.13SS	2.193231349143661
10249.C014.01SS.r	2.0249546952484505
10249.C014.02SS	2.032363814199928
10249.C014.03SS	2.6529113230428196
10249.C014.04SS	3.4638344055778063
10249.C014.05SS	2.1811053760357657
10249.C014.06SS	3.4747344779876257
10249.C014.07SS	3.221034960758435
10249.C014.08SS	4.276052629915801
10249.C014.09SS	3.1976561449304466
10249.C014.10SS	4.7220457562461124
10249.C016.03SS	3.2617062466003053
10249.C016.04SS	2.615028808316408
10249.C016.05SS	2.818382598554296
10249.C016.06SS	2.5592127888341234
10249.C016.08SS	2.8145342997691496
10249.C016.09SS	2.545505545628063
10249.C016.10SS	1.0353038585399865
10249.C016.11SS	1.6670020847821139
10249.C016.12SS	3.570837049011317
10249.C017.01SS.r	4.836732400838817
10249.C017.02SS	3.261270165097938
10249.C017.03SS	2.050895049762993
